season,team,rush_n,pct_end,pct_tackle,pct_guard,pct_middle,dropback_n,pa_rate,cluster
2025,SEA,266,0.3458646616541353,0.1541353383458646,0.244360902255639,0.2556390977443609,316,0.2911392405063291,1
2025,SF,267,0.2546816479400749,0.198501872659176,0.2921348314606741,0.2546816479400749,376,0.2819148936170212,1
2022,CIN,197,0.1522842639593908,0.233502538071066,0.3756345177664975,0.2385786802030456,449,0.1380846325167037,2
2022,IND,271,0.1254612546125461,0.2804428044280442,0.2214022140221402,0.3726937269372694,349,0.2177650429799427,2
2022,LV,275,0.1818181818181818,0.1890909090909091,0.3272727272727272,0.3018181818181818,365,0.2712328767123287,2
2022,NE,249,0.1686746987951807,0.180722891566265,0.3333333333333333,0.3172690763052209,358,0.2067039106145251,2
2022,NO,280,0.2035714285714285,0.25,0.4035714285714286,0.1428571428571428,272,0.1985294117647058,2
2022,PIT,326,0.1993865030674846,0.2668711656441718,0.2914110429447852,0.2423312883435582,391,0.1713554987212276,2
2022,TB,250,0.188,0.24,0.308,0.264,412,0.1820388349514563,2
2023,BUF,294,0.2040816326530612,0.1530612244897959,0.3673469387755102,0.2755102040816326,435,0.2206896551724138,2
2023,CAR,265,0.1698113207547169,0.2754716981132075,0.3056603773584905,0.2490566037735849,338,0.1923076923076923,2
2023,CIN,192,0.21875,0.140625,0.3385416666666667,0.3020833333333333,411,0.2116788321167883,2
2023,LV,222,0.1981981981981982,0.2027027027027027,0.2702702702702703,0.3288288288288288,303,0.2475247524752475,2
2023,NE,250,0.148,0.148,0.308,0.396,359,0.1838440111420612,2
2023,NO,252,0.1865079365079365,0.2619047619047619,0.4087301587301587,0.1428571428571428,345,0.1681159420289855,2
2023,PIT,303,0.1815181518151815,0.2706270627062706,0.3465346534653465,0.2013201320132013,343,0.1924198250728863,2
2023,WAS,189,0.1851851851851851,0.2592592592592592,0.3333333333333333,0.2222222222222222,360,0.225,2
2024,BUF,301,0.1495016611295681,0.2425249169435216,0.362126245847176,0.2458471760797342,366,0.2377049180327868,2
2024,CIN,197,0.1776649746192893,0.2233502538071066,0.3705583756345177,0.2284263959390862,451,0.2106430155210643,2
2024,DAL,258,0.2093023255813953,0.1937984496124031,0.2984496124031007,0.2984496124031007,352,0.2528409090909091,2
2024,KC,298,0.1845637583892617,0.1375838926174496,0.4026845637583892,0.2751677852348993,514,0.2529182879377432,2
2024,LV,250,0.156,0.164,0.32,0.36,357,0.2829131652661064,2
2024,NE,223,0.1928251121076233,0.242152466367713,0.3139013452914798,0.2511210762331838,315,0.2412698412698412,2
2024,PHI,320,0.221875,0.225,0.35,0.203125,341,0.2668621700879765,2
2024,SEA,222,0.1891891891891892,0.1846846846846846,0.3648648648648648,0.2612612612612612,354,0.2401129943502825,2
2025,CIN,206,0.1553398058252427,0.1796116504854369,0.3834951456310679,0.2815533980582524,371,0.1859838274932614,2
2025,HOU,282,0.1312056737588652,0.2375886524822695,0.3439716312056737,0.2872340425531915,417,0.2661870503597122,2
2025,KC,244,0.1721311475409836,0.2581967213114754,0.3032786885245901,0.2663934426229508,417,0.2014388489208633,2
2025,NE,274,0.1861313868613138,0.2445255474452554,0.3029197080291971,0.2664233576642336,445,0.2449438202247191,2
2025,NO,256,0.21484375,0.171875,0.36328125,0.25,342,0.2514619883040935,2
2025,NYJ,225,0.1955555555555555,0.2444444444444444,0.3555555555555555,0.2044444444444444,215,0.2465116279069767,2
2025,TB,291,0.2164948453608247,0.2130584192439862,0.3367697594501718,0.2336769759450171,365,0.2191780821917808,2
2022,ATL,315,0.4317460317460317,0.365079365079365,0.1555555555555555,0.0476190476190476,276,0.4202898550724637,3
2022,DAL,350,0.2657142857142857,0.2628571428571428,0.2,0.2714285714285714,388,0.2963917525773196,3
2022,DET,256,0.21875,0.328125,0.12890625,0.32421875,316,0.310126582278481,3
2022,LA,233,0.2489270386266094,0.2918454935622318,0.2145922746781116,0.2446351931330472,318,0.3522012578616352,3
2023,ARI,263,0.2737642585551331,0.2661596958174905,0.1330798479087452,0.3269961977186312,295,0.3050847457627119,3
2023,ATL,320,0.39375,0.4,0.125,0.08125,365,0.3205479452054794,3
2023,CHI,237,0.3333333333333333,0.2827004219409282,0.240506329113924,0.1434599156118143,295,0.3016949152542373,3
2023,DET,297,0.303030303030303,0.2895622895622896,0.1414141414141414,0.265993265993266,380,0.2552631578947368,3
2023,MIN,239,0.2552301255230125,0.2803347280334728,0.2343096234309623,0.2301255230125523,401,0.3615960099750623,3
2024,ARI,212,0.2641509433962264,0.2452830188679245,0.1462264150943396,0.3443396226415094,319,0.3103448275862069,3
2024,ATL,315,0.4158730158730159,0.3523809523809524,0.1841269841269841,0.0476190476190476,378,0.1825396825396825,3
2024,DET,263,0.2661596958174905,0.3498098859315589,0.1368821292775665,0.247148288973384,305,0.3639344262295082,3
2024,MIA,271,0.3579335793357933,0.2250922509225092,0.1623616236162361,0.2546125461254612,334,0.3053892215568862,3
2024,NO,250,0.364,0.3,0.252,0.084,290,0.2655172413793103,3
2024,NYJ,246,0.3008130081300813,0.2967479674796748,0.1707317073170731,0.2317073170731707,397,0.2821158690176322,3
2025,ARI,176,0.2443181818181818,0.3352272727272727,0.1022727272727272,0.3181818181818182,339,0.3244837758112094,3
2025,ATL,279,0.2365591397849462,0.4014336917562724,0.2473118279569892,0.1146953405017921,356,0.2584269662921348,3
2025,DET,260,0.2192307692307692,0.3269230769230769,0.2115384615384615,0.2423076923076923,327,0.3119266055045872,3
2025,MIA,198,0.3636363636363636,0.2676767676767677,0.1818181818181818,0.1868686868686868,235,0.3617021276595745,3
2025,MIN,228,0.2982456140350877,0.2236842105263158,0.1842105263157894,0.293859649122807,306,0.3300653594771242,3
