season,team,cluster_k5,label_k5,silhouette_k5,runner_up_k5,margin_k5,cluster_k7,label_k7,silhouette_k7,runner_up_k7,margin_k7,PC1,PC2,PC3,PC4,PC5,proe_early,under_center,pistol,pers_11,multi_te,two_back,empty_backfield,extra_ol,motion,no_huddle,outside_run,qb_design_run,rpo,play_action,screen,qb_out_of_pocket,time_to_throw,rb_target_share,te_target_share,n_plays,n_dropbacks
2023,IND,2,Shotgun QB-run / RPO,0.359,"Shotgun spread, pass-first",0.516,4,Shotgun QB-run / RPO,0.362,Pass-first spread (early-down PROE),0.538,3.307,2.485,-0.746,-0.75,-0.994,-0.012,0.0981,0.0654,0.7624,0.2236,0.0078,0.0559,0.0093,0.4814,0.1786,0.3837,0.0202,0.191,0.2595,0.1135,0.1757,2.3,0.156,0.211,644,370
2023,JAX,0,"Shotgun spread, pass-first",0.318,Under-center play-action,0.552,3,Pass-first spread (early-down PROE),0.138,"Shotgun spread, balanced",0.471,1.389,0.258,-0.067,1.565,-0.182,0.0168,0.2003,0.0501,0.6317,0.3614,0.0138,0.0516,0.0344,0.4492,0.0396,0.4155,0.0103,0.0757,0.2443,0.1351,0.158,2.2,0.1353,0.2508,581,348
2023,KC,0,"Shotgun spread, pass-first",0.213,Under-center play-action,0.441,3,Pass-first spread (early-down PROE),0.063,"Shotgun spread, balanced",0.338,0.551,0.186,-0.004,1.162,0.357,0.0672,0.175,0.0209,0.6272,0.3584,0.0,0.0544,0.0048,0.6144,0.0128,0.5243,0.0064,0.072,0.1937,0.1404,0.2131,2.5,0.1629,0.2725,625,413
2023,LA,0,"Shotgun spread, pass-first",0.141,Under-center play-action,0.178,2,Under-center 11p + motion (McVay-style),0.168,"Shotgun spread, balanced",0.256,1.466,-1.96,-1.564,-2.613,0.828,0.003,0.3957,0.0679,0.9587,0.0413,0.0,0.0793,0.0,0.7058,0.0975,0.4694,0.005,0.0248,0.1938,0.1011,0.118,2.4,0.1356,0.1514,605,356
2023,LAC,2,Shotgun QB-run / RPO,0.074,"Shotgun spread, pass-first",0.164,4,Shotgun QB-run / RPO,0.038,"Shotgun spread, balanced",0.211,0.971,1.246,0.351,-0.829,0.383,0.0331,0.2014,0.0686,0.6643,0.3186,0.0014,0.0586,0.0214,0.58,0.15,0.4815,0.0171,0.0743,0.2415,0.1002,0.1913,2.5,0.1504,0.2164,700,439
2023,LV,1,Under-center play-action,0.112,"Shotgun spread, pass-first",0.172,2,Under-center 11p + motion (McVay-style),0.041,"Shotgun spread, balanced",0.122,-0.408,-3.155,-0.243,-0.253,-0.443,-0.0288,0.5095,0.0019,0.6125,0.2023,0.1928,0.0586,0.0737,0.5633,0.0397,0.4245,0.0038,0.017,0.2475,0.1254,0.0825,2.4,0.1667,0.1333,529,303
2023,MIA,3,"Shanahan wide-zone, two-back motion",0.439,"Shotgun spread, pass-first",0.581,5,"Shanahan wide-zone, two-back motion",0.447,"Shotgun spread, balanced",0.605,-2.647,0.127,-5.885,-0.534,0.993,0.0152,0.1815,0.1499,0.3661,0.0846,0.5295,0.1457,0.0,0.8091,0.0236,0.6538,0.0079,0.0492,0.2764,0.1398,0.146,2.15,0.2256,0.0875,508,322
2023,MIN,1,Under-center play-action,0.358,Heavy power run + QB run,0.471,1,"Under-center, multi-TE play-action",0.062,Under-center 11p + motion (McVay-style),0.126,-1.719,-0.565,2.862,-1.412,0.617,0.0047,0.5117,0.0078,0.6053,0.3096,0.0975,0.0526,0.0,0.4892,0.1146,0.5502,0.0077,0.0372,0.3616,0.0948,0.1521,2.7,0.1563,0.3068,646,401
2023,NE,0,"Shotgun spread, pass-first",0.206,Under-center play-action,0.291,0,"Shotgun spread, balanced",0.063,Pass-first spread (early-down PROE),0.088,0.773,-0.649,-0.824,2.691,-1.635,-0.0035,0.3668,0.0066,0.4663,0.5008,0.0246,0.0722,0.0,0.5123,0.087,0.3033,0.0016,0.0722,0.1838,0.1616,0.1114,2.3,0.25,0.1948,609,359
2023,NO,1,Under-center play-action,0.012,"Shotgun spread, pass-first",0.057,1,"Under-center, multi-TE play-action",0.025,"Shotgun spread, balanced",0.069,0.623,-1.871,0.88,1.166,-0.249,-0.0406,0.4013,0.0151,0.5936,0.2324,0.0635,0.0401,0.0803,0.3344,0.0401,0.4484,0.0033,0.0385,0.1681,0.0812,0.1333,2.4,0.2109,0.23,598,345
2023,NYG,0,"Shotgun spread, pass-first",0.197,Shotgun QB-run / RPO,0.462,0,"Shotgun spread, balanced",0.103,Pass-first spread (early-down PROE),0.066,1.481,0.491,0.325,-0.199,0.063,-0.0023,0.3144,0.0057,0.7132,0.2528,0.0302,0.0792,0.0642,0.5113,0.0943,0.4772,0.0321,0.0642,0.2355,0.0839,0.2806,2.2,0.187,0.1783,530,310
2023,NYJ,1,Under-center play-action,0.231,"Shotgun spread, pass-first",0.407,1,"Under-center, multi-TE play-action",0.156,"Shotgun spread, balanced",0.283,-0.901,-1.407,0.645,0.628,-1.367,-0.0523,0.4606,0.0018,0.5484,0.3495,0.129,0.0556,0.0125,0.3781,0.0305,0.4864,0.009,0.0358,0.2622,0.1098,0.1707,2.4,0.2571,0.1786,558,328
2023,PHI,2,Shotgun QB-run / RPO,0.463,"Shotgun spread, pass-first",0.688,4,Shotgun QB-run / RPO,0.477,Pass-first spread (early-down PROE),0.724,2.856,3.069,0.168,-1.152,0.2,0.0438,0.0523,0.0354,0.7351,0.1991,0.0337,0.1194,0.0,0.245,0.1623,0.3873,0.0567,0.0904,0.2762,0.1304,0.2251,2.5,0.1802,0.1832,653,391
2023,PIT,0,"Shotgun spread, pass-first",0.158,Under-center play-action,0.21,0,"Shotgun spread, balanced",0.351,"Under-center, multi-TE play-action",0.475,0.561,-1.034,-1.068,0.112,-2.846,-0.0896,0.3443,0.0219,0.7098,0.273,0.0312,0.0608,0.0156,0.5211,0.0359,0.4789,0.0047,0.0718,0.1923,0.1361,0.2337,2.35,0.277,0.1047,641,338
2023,SEA,0,"Shotgun spread, pass-first",0.099,Under-center play-action,0.196,0,"Shotgun spread, balanced",0.102,Pass-first spread (early-down PROE),0.137,0.31,0.249,0.302,0.21,0.34,0.0093,0.3282,0.0542,0.567,0.3914,0.0293,0.1017,0.0015,0.4684,0.1125,0.3909,0.0031,0.0385,0.2843,0.1272,0.1646,2.4,0.1437,0.1944,649,401
2023,SF,3,"Shanahan wide-zone, two-back motion",0.279,Under-center play-action,0.456,5,"Shanahan wide-zone, two-back motion",0.163,Under-center 11p + motion (McVay-style),0.351,-3.104,-0.691,-1.585,-0.169,2.22,0.0064,0.3711,0.0536,0.3374,0.2202,0.5082,0.1008,0.0,0.7181,0.0082,0.5427,0.0062,0.0247,0.2464,0.087,0.1848,2.465,0.1909,0.2199,486,276
2023,TB,0,"Shotgun spread, pass-first",0.187,Under-center play-action,0.459,0,"Shotgun spread, balanced",0.165,Under-center 11p + motion (McVay-style),0.318,0.534,-0.472,-0.178,-0.183,0.264,-0.022,0.2904,0.066,0.6672,0.3164,0.0115,0.1066,0.0098,0.4557,0.0443,0.3544,0.0098,0.0459,0.2948,0.1047,0.1488,2.4,0.1781,0.15,610,363
2023,TEN,1,Under-center play-action,0.214,"Shotgun spread, pass-first",0.323,1,"Under-center, multi-TE play-action",0.194,"Shotgun spread, balanced",0.321,-1.368,-0.919,0.646,1.144,-1.769,-0.0603,0.4193,0.0696,0.5032,0.3722,0.1073,0.071,0.0631,0.377,0.03,0.4574,0.0079,0.0379,0.3188,0.1391,0.1565,2.4,0.2423,0.1911,634,345
2023,WAS,0,"Shotgun spread, pass-first",0.347,Under-center play-action,0.689,3,Pass-first spread (early-down PROE),0.059,"Shotgun spread, balanced",0.376,1.728,-0.721,-0.159,0.704,0.445,0.1005,0.192,0.0,0.6758,0.2495,0.071,0.0437,0.0036,0.4117,0.0091,0.4365,0.0091,0.0656,0.225,0.1333,0.1833,2.4,0.1755,0.1987,549,360
2024,ARI,1,Under-center play-action,0.132,"Shotgun spread, pass-first",0.179,1,"Under-center, multi-TE play-action",0.116,Pass-first spread (early-down PROE),0.166,-0.822,1.215,1.64,1.869,1.605,0.0242,0.3051,0.1299,0.443,0.5439,0.0187,0.1065,0.0224,0.3832,0.0561,0.4872,0.028,0.0093,0.3103,0.0878,0.21,2.4,0.1569,0.3285,535,319
